,Sample_ID,Run_ID,Release_version,Sex,Body_site
2808,SRS483477,SRR996718,2.0,male ,volar forearm 
2809,SRS483477,SRR996806,2.0,male ,volar forearm 
2824,SRS483485,SRR996726,2.0,male ,volar forearm 
2825,SRS483485,SRR996814,2.0,male ,volar forearm 
2826,SRS483486,SRR996727,2.0,male ,volar forearm 
2827,SRS483486,SRR996815,2.0,male ,volar forearm 
2828,SRS483487,SRR996728,2.0,male ,volar forearm 
2829,SRS483487,SRR996816,2.0,male ,volar forearm 
2848,SRS483497,SRR996738,2.0,male ,volar forearm 
2849,SRS483497,SRR996826,2.0,male ,volar forearm 
2850,SRS483498,SRR996739,2.0,male ,volar forearm 
2851,SRS483498,SRR996827,2.0,male ,volar forearm 
2852,SRS483499,SRR996740,2.0,male ,volar forearm 
2853,SRS483499,SRR996828,2.0,male ,volar forearm 
2866,SRS483506,SRR996835,2.0,male ,volar forearm 
2867,SRS483506,SRR996895,2.0,male ,volar forearm 
2872,SRS483509,SRR996838,2.0,male ,volar forearm 
2873,SRS483509,SRR996898,2.0,male ,volar forearm 
2882,SRS483514,SRR996844,2.0,male ,volar forearm 
2883,SRS483514,SRR996904,2.0,male ,volar forearm 
2892,SRS483519,SRR996847,2.0,male ,volar forearm 
2893,SRS483519,SRR996907,2.0,male ,volar forearm 
2898,SRS483522,SRR996851,2.0,male ,volar forearm 
2899,SRS483522,SRR996911,2.0,male ,volar forearm 
2904,SRS483525,SRR996854,2.0,male ,volar forearm 
2905,SRS483525,SRR996914,2.0,male ,volar forearm 
2922,SRS483534,SRR996863,2.0,male ,volar forearm 
2923,SRS483534,SRR996923,2.0,male ,volar forearm 
2952,SRS483549,SRR996878,2.0,male ,volar forearm 
2953,SRS483549,SRR996938,2.0,male ,volar forearm 
2960,SRS483553,SRR996882,2.0,male ,volar forearm 
2961,SRS483553,SRR996942,2.0,male ,volar forearm 
2968,SRS483557,SRR996886,2.0,male ,volar forearm 
2969,SRS483557,SRR996946,2.0,male ,volar forearm 
3008,SRS483577,SRR996966,2.0,male ,volar forearm 
3009,SRS483577,SRR997051,2.0,male ,volar forearm 
3016,SRS483581,SRR996970,2.0,male ,volar forearm 
3017,SRS483581,SRR997055,2.0,male ,volar forearm 
3024,SRS483585,SRR996974,2.0,male ,volar forearm 
3025,SRS483585,SRR997059,2.0,male ,volar forearm 
3056,SRS483601,SRR996990,2.0,male ,volar forearm 
3057,SRS483601,SRR997075,2.0,male ,volar forearm 
3066,SRS483606,SRR996994,2.0,male ,volar forearm 
3067,SRS483606,SRR997079,2.0,male ,volar forearm 
3072,SRS483609,SRR996998,2.0,male ,volar forearm 
3073,SRS483609,SRR997083,2.0,male ,volar forearm 
3104,SRS483625,SRR997014,2.0,male ,volar forearm 
3105,SRS483625,SRR997099,2.0,male ,volar forearm 
3112,SRS483629,SRR997018,2.0,male ,volar forearm 
3113,SRS483629,SRR997103,2.0,male ,volar forearm 
3120,SRS483633,SRR997022,2.0,male ,volar forearm 
3121,SRS483633,SRR997107,2.0,male ,volar forearm 
3128,SRS483637,SRR997026,2.0,male ,volar forearm 
3129,SRS483637,SRR997111,2.0,male ,volar forearm 
3136,SRS483641,SRR997030,2.0,male ,volar forearm 
3137,SRS483641,SRR997115,2.0,male ,volar forearm 
3146,SRS483646,SRR997034,2.0,male ,volar forearm 
3147,SRS483646,SRR997119,2.0,male ,volar forearm 
