,Sample ID,Run ID,Release version,Sample ID,Sex,Body site
340,SRS451769,SRR920218,2.0,,,
341,SRS451769,SRR920249,2.0,,,
342,SRS451770,SRR920219,2.0,,,
343,SRS451770,SRR920250,2.0,,,
344,SRS451771,SRR920220,2.0,,,
345,SRS451771,SRR920251,2.0,,,
346,SRS451772,SRR920221,2.0,,,
347,SRS451772,SRR920252,2.0,,,
348,SRS451773,SRR920222,2.0,,,
349,SRS451773,SRR920253,2.0,,,
350,SRS451774,SRR920223,2.0,,,
351,SRS451774,SRR920254,2.0,,,
352,SRS451775,SRR920224,2.0,,,
353,SRS451775,SRR920255,2.0,,,
354,SRS451776,SRR920226,2.0,,,
355,SRS451776,SRR920257,2.0,,,
356,SRS451777,SRR920225,2.0,,,
357,SRS451777,SRR920256,2.0,,,
358,SRS451778,SRR920227,2.0,,,
359,SRS451778,SRR920258,2.0,,,
360,SRS451779,SRR920229,2.0,,,
361,SRS451779,SRR920260,2.0,,,
362,SRS451780,SRR920228,2.0,,,
363,SRS451780,SRR920259,2.0,,,
364,SRS451781,SRR920230,2.0,,,
365,SRS451781,SRR920261,2.0,,,
366,SRS451782,SRR920231,2.0,,,
367,SRS451782,SRR920262,2.0,,,
368,SRS451783,SRR920232,2.0,,,
369,SRS451783,SRR920263,2.0,,,
370,SRS451784,SRR920234,2.0,,,
371,SRS451784,SRR920265,2.0,,,
372,SRS451785,SRR920233,2.0,,,
373,SRS451785,SRR920264,2.0,,,
374,SRS451786,SRR920235,2.0,,,
375,SRS451786,SRR920266,2.0,,,
376,SRS451864,SRR920575,2.0,,,
377,SRS451864,SRR920662,2.0,,,
378,SRS451865,SRR920576,2.0,,,
379,SRS451865,SRR920663,2.0,,,
380,SRS451866,SRR920577,2.0,,,
381,SRS451866,SRR920664,2.0,,,
382,SRS451867,SRR920578,2.0,,,
383,SRS451867,SRR920665,2.0,,,
384,SRS451868,SRR920579,2.0,,,
385,SRS451868,SRR920666,2.0,,,
386,SRS451869,SRR920580,2.0,,,
387,SRS451869,SRR920667,2.0,,,
388,SRS451870,SRR920581,2.0,,,
389,SRS451870,SRR920668,2.0,,,
390,SRS451871,SRR920582,2.0,,,
391,SRS451871,SRR920669,2.0,,,
392,SRS451872,SRR920583,2.0,,,
393,SRS451872,SRR920670,2.0,,,
394,SRS451873,SRR920584,2.0,,,
395,SRS451873,SRR920671,2.0,,,
396,SRS451874,SRR920585,2.0,,,
397,SRS451874,SRR920672,2.0,,,
398,SRS451875,SRR920586,2.0,,,
399,SRS451875,SRR920673,2.0,,,
400,SRS451876,SRR920587,2.0,,,
401,SRS451876,SRR920674,2.0,,,
402,SRS451877,SRR920588,2.0,,,
403,SRS451877,SRR920675,2.0,,,
404,SRS451878,SRR920589,2.0,,,
405,SRS451878,SRR920676,2.0,,,
406,SRS451879,SRR920590,2.0,,,
407,SRS451879,SRR920677,2.0,,,
408,SRS451880,SRR920591,2.0,,,
409,SRS451880,SRR920678,2.0,,,
410,SRS451881,SRR920592,2.0,,,
411,SRS451881,SRR920679,2.0,,,
412,SRS451882,SRR920593,2.0,,,
413,SRS451882,SRR920680,2.0,,,
414,SRS451883,SRR920594,2.0,,,
415,SRS451883,SRR920681,2.0,,,
